year,g_co2_km,,,,,Source:,https://www.infrastructure.gov.au/sites/default/files/migrated/vehicles/environment/forum/files/Vehicle_Fuel_Efficiency_RIS.pdf
2015.143091,174.8400853,,,,,,(Used in NVES impact estimates)
2016.144726,171.641791,,,,,,
2017.187244,167.9104478,,,,,,
2018.18888,165.7782516,,,,,,
2020.008177,157.782516,,,,,,
2022.05233,154.0511727,,,,,,
2023.053966,152.9850746,,,,,,
2024.096484,148.1876333,,,,,,
2025.016353,147.1215352,,,,,,
2025.977105,142.3240938,,,,,,
2027.980376,138.5927505,,,,,,
2030.964841,132.196162,,,,,,
2031.905151,132.7292111,,,,,,
2033.928863,128.9978678,,,,,,
2034.930499,129.5309168,,,,,,
2036.790679,124.7334755,,,,,,
2037.87408,125.7995736,,,,,,
2038.834832,122.6012793,,,,,,
2039.775143,121.5351812,,,,,,
