"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2025","Mercedes-Benz","214","E Class","AMG E 53 Hybrid 4MATIC+","3","6cyl","Turbo","9","Auto","4","5","Sedan","4","Plug-in Electric/Petrol 98RON","38","","","1.7","","","207","100","Euro 6","88","3750","Yes","0","209","0.53","1317"
"2024","Porsche","G3","Panamera","4 E-Hybrid","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Plug-in Electric/Petrol 98RON","40","","","1.8","","","269","96","Euro 6","80","2850","Yes","0","262","0.56","1604"
"2024","Porsche","G3","Panamera","4S E-Hybrid","3","6cyl","Turbo","8","Auto","4","4","Sedan","4","Plug-in Electric/Petrol 98RON","40","","","1.8","","","269","96","Euro 6","80","2850","Yes","0","262","0.56","1604"
"2024","Porsche","G3","Panamera","Turbo S E-Hybrid","4","8cyl","Turbo","8","Auto","4","5","Sedan","4","Plug-in Electric/Petrol 98RON","47","","","2.1","","","270","92","Euro 6","88","3750","Yes","0","270","0.66","1687"
"2024","Porsche","G3","Panamera","Turbo E-Hybrid","4","8cyl","Turbo","8","Auto","4","5","Sedan","4","Plug-in Electric/Petrol 98RON","48","","","2.1","","","279","92","Euro 6","80","2850","Yes","0","277","0.67","1725"
"2022","BMW","G20","3 Series","330e","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Plug-in Electric/Petrol 98RON","48","158","","2.1","6.9","","169","57","Euro 6","77","3750","Yes","0","188","0.67","1263"
"2022","BMW","G20","3 Series","330e","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Plug-in Electric/Petrol 98RON","48","158","","2.1","6.9","","169","57","Euro 6","77","3750","Yes","0","188","0.67","1263"
"2020","BMW","G20","3 Series","330e","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Plug-in Electric/Petrol 98RON","48","158","","2.1","6.9","","169","57","Euro 6","77","3750","Yes","0","188","0.67","1263"
"2021","Porsche","G2 II","Panamera","4 E-Hybrid","3","6cyl","Turbo","8","Auto","4","4","Sedan","4","Plug-in Electric/Petrol 98RON","59","","","2.6","","","195","56","Euro 5","87","3750","Yes","0","221","0.83","1503"
"2021","Porsche","G2 II","Panamera","4 E-Hybrid","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Plug-in Electric/Petrol 98RON","59","","","2.6","","","195","56","Euro 5","87","3750","Yes","0","221","0.83","1503"
"2021","Porsche","G2 II","Panamera","4 E-Hybrid Sports Tourismo","3","6cyl","Turbo","8","Auto","4","4","Wagon","4","Plug-in Electric/Petrol 98RON","59","","","2.6","","","195","56","Euro 5","87","3750","Yes","0","221","0.83","1503"
"2021","Porsche","G2 II","Panamera","4 E-Hybrid LWB","3","6cyl","Turbo","8","Auto","4","4","Sedan","4","Plug-in Electric/Petrol 98RON","60","","","2.6","","","195","55","Euro 5","87","3750","Yes","0","221","0.84","1503"
"2021","Porsche","G2 II","Panamera","4S E-Hybrid","3","6cyl","Turbo","8","Auto","4","4","Sedan","4","Plug-in Electric/Petrol 98RON","62","","","2.7","","","198","54","Euro 5","90","3750","Yes","0","226","0.87","1542"
"2021","Porsche","G2 II","Panamera","4S E-Hybrid","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Plug-in Electric/Petrol 98RON","62","","","2.7","","","198","54","Euro 5","90","3750","Yes","0","226","0.87","1542"
"2024","BMW","G90","5 Series","M5","4.4","8cyl","Turbo","8","Auto","4","5","Sedan","4","Plug-in Electric/Petrol 98RON","68","252","","3","11.1","","256","68","Euro 6","84","3750","Yes","0","281","0.95","1865"
"2021","Porsche","G2 II","Panamera","Turbo S E-Hybrid","4","8cyl","Turbo","8","Auto","4","4","Sedan","4","Plug-in Electric/Petrol 98RON","73","","","3.2","","","237","53","Euro 5","89","3750","Yes","0","270","1.02","1838"
