"PVWatts Hourly PV Performance Data"
"Requested Location","canberra, act, australia"
"Location","Lat, Lng: -35.31, 149.14"
"Latitude (DD)","-35.31"
"Longitude (DD)","149.14"
"Elevation (m)","572"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","35.31"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","19","0.5","0.2","0","19","0","0"
"1","1","1","0","0","18.5","0.3","0.2","0","18.5","0","0"
"1","1","2","0","0","18.3","0.3","0.2","0","18.3","0","0"
"1","1","3","0","0","18.3","0.3","0.2","0","18.3","0","0"
"1","1","4","0","0","18.6","0.4","0.2","0","0","0","0"
"1","1","5","0","31","19.6","0.4","0.2","25.383","20.502","188.271","141.964"
"1","1","6","11","111","21.5","0.5","0.2","89.571","24.632","725.973","660.613"
"1","1","7","78","218","24.6","0.6","0.2","203.445","31.486","1629.761","1532.377"
"1","1","8","134","327","28.1","0.5","0.2","351.043","40.331","2760.129","2622.691"
"1","1","9","157","420","29.8","0.4","0.2","480.095","46.988","3665.846","3496.315"
"1","1","10","1006","108","29.3","2.3","0.2","959.175","51.249","7282.538","6984.853"
"1","1","11","1018","112","30.4","2.3","0.2","1043.284","54.256","7788.938","7473.31"
"1","1","12","1014","113","31.1","2.1","0.2","1047.781","56.008","7761.259","7446.612"
