"PVWatts Hourly PV Performance Data"
"Requested Location","act australia"
"Location","Lat, Lng: -35.31, 149.14"
"Latitude (DD)","-35.31"
"Longitude (DD)","149.14"
"Elevation (m)","572"
"DC System Size (kW)","7"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","35.31"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","19","0.5","0.2","0","19","0","0"
"1","1","1","0","0","18.5","0.3","0.2","0","18.5","0","0"
"1","1","2","0","0","18.3","0.3","0.2","0","18.3","0","0"
"1","1","3","0","0","18.3","0.3","0.2","0","18.3","0","0"
"1","1","4","0","0","18.6","0.4","0.2","0","0","0","0"
"1","1","5","0","31","19.6","0.4","0.2","25.391","20.502","131.825","99.409"
"1","1","6","11","111","21.5","0.5","0.2","89.601","24.633","508.335","462.577"
"1","1","7","78","218","24.6","0.6","0.2","203.52","31.489","1141.197","1073.015"
"1","1","8","134","327","28.1","0.5","0.2","351.164","40.335","1932.636","1836.41"
"1","1","9","157","420","29.8","0.4","0.2","480.25","46.994","2566.749","2448.054"
"1","1","10","1006","108","29.3","2.3","0.2","959.539","51.257","5099.191","4890.761"
"1","1","11","1018","112","30.4","2.3","0.2","1043.657","54.264","5453.657","5232.667"
"1","1","12","1014","113","31.1","2.1","0.2","1048.152","56.016","5434.257","5213.954"
