"PVWatts Hourly PV Performance Data"
"Requested Location","sydney, nsw, australia"
"Location","Lat, Lng: -33.87, 151.22"
"Latitude (DD)","-33.87"
"Longitude (DD)","151.22"
"Elevation (m)","38"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","33.87"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","21.2","2.6","0.2","0","21.2","0","0"
"1","1","1","0","0","21","2.6","0.2","0","21","0","0"
"1","1","2","0","0","20.7","2.6","0.2","0","20.7","0","0"
"1","1","3","0","0","20.5","2.5","0.2","0","20.5","0","0"
"1","1","4","0","0","20.6","2.4","0.2","0","0","0","0"
"1","1","5","258","48","21.4","2.6","0.2","34.86","22.149","263.003","214.048"
"1","1","6","585","88","22.7","3","0.2","145.108","25.433","942.262","869.238"
"1","1","7","746","110","23.9","3","0.2","368.421","31.28","2930.083","2786.622"
"1","1","8","837","125","24.9","2.6","0.2","597.758","37.888","4867.342","4655.237"
"1","1","9","893","133","25.4","2.4","0.2","789.113","43.15","6245.841","5984.89"
"1","1","10","988","111","29.6","2.2","0.2","958.709","51.978","7272.099","6974.784"
"1","1","11","1000","114","30","2.4","0.2","1032.056","53.174","7760.984","7446.346"
"1","1","12","999","114","29.8","2.7","0.2","1029.739","51.692","7792.89","7477.121"
"1","1","13","990","109","29.2","3","0.2","954.503","48.481","7348.934","7048.896"
"1","1","14","960","106","28.4","3.2","0.2","808.68","44.225","6378.792","6113.131"
"1","1","15","910","99","27.5","3.3","0.2","607.412","39.222","4927.36","4713.128"
"1","1","16","832","86","26.4","3.3","0.2","371.843","33.475","2908.174","2765.49"
"1","1","17","684","69","25.1","3.1","0.2","134.024","27.517","800.259","732.267"
"1","1","18","364","38","23.7","2.8","0.2","28.932","24.298","211.673","164.537"
"1","1","19","0","0","22.7","2.4","0.2","0","0","0","0"
"1","1","20","0","0","22.1","2.2","0.2","0","22.1","0","0"
"1","1","21","0","0","21.8","2.1","0.2","0","21.8","0","0"
"1","1","22","0","0","21.5","1.9","0.2","0","21.5","0","0"
"1","1","23","0","0","21.3","1.7","0.2","0","21.3","0","0"
