"PVWatts Hourly PV Performance Data"
"Requested Location","sydney australia"
"Location","Lat, Lng: -33.87, 151.22"
"Latitude (DD)","-33.87"
"Longitude (DD)","151.22"
"Elevation (m)","38"
"DC System Size (kW)","7"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","33.87"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","21.2","2.6","0.2","0","21.2","0","0"
"1","1","1","0","0","21","2.6","0.2","0","21","0","0"
"1","1","2","0","0","20.7","2.6","0.2","0","20.7","0","0"
"1","1","3","0","0","20.5","2.5","0.2","0","20.5","0","0"
"1","1","4","0","0","20.6","2.4","0.2","0","0","0","0"
"1","1","5","258","48","21.4","2.6","0.2","34.898","22.15","184.281","150.006"
"1","1","6","585","88","22.7","3","0.2","145.283","25.436","660.451","609.304"
"1","1","7","746","110","23.9","3","0.2","368.631","31.284","2052.063","1951.606"
"1","1","8","837","125","24.9","2.6","0.2","598.016","37.893","3408.288","3259.774"
"1","1","9","893","133","25.4","2.4","0.2","789.41","43.157","4373.323","4190.614"
"1","1","10","988","111","29.6","2.2","0.2","959.043","51.986","5091.745","4883.579"
"1","1","11","1000","114","30","2.4","0.2","1032.397","53.181","5433.967","5213.675"
"1","1","12","999","114","29.8","2.7","0.2","1030.079","51.699","5456.319","5235.235"
"1","1","13","990","109","29.2","3","0.2","954.837","48.488","5145.572","4935.499"
"1","1","14","960","106","28.4","3.2","0.2","808.99","44.231","4466.448","4280.439"
"1","1","15","910","99","27.5","3.3","0.2","607.683","39.227","3450.358","3300.353"
"1","1","16","832","86","26.4","3.3","0.2","372.068","33.479","2036.792","1936.875"
"1","1","17","684","69","25.1","3.1","0.2","134.222","27.521","561.156","513.527"
"1","1","18","364","38","23.7","2.8","0.2","28.976","24.299","148.373","115.37"
"1","1","19","0","0","22.7","2.4","0.2","0","0","0","0"
"1","1","20","0","0","22.1","2.2","0.2","0","22.1","0","0"
"1","1","21","0","0","21.8","2.1","0.2","0","21.8","0","0"
"1","1","22","0","0","21.5","1.9","0.2","0","21.5","0","0"
"1","1","23","0","0","21.3","1.7","0.2","0","21.3","0","0"
