"PVWatts Hourly PV Performance Data"
"Requested Location","darwin, nt, australia"
"Location","Lat, Lng: -12.47, 130.86"
"Latitude (DD)","-12.47"
"Longitude (DD)","130.86"
"Elevation (m)","2"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","12.47"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","27.4","4.6","0.2","0","27.4","0","0"
"1","1","1","0","0","27.3","4.5","0.2","0","27.3","0","0"
"1","1","2","0","0","27.3","4.2","0.2","0","27.3","0","0"
"1","1","3","0","0","27.2","3.7","0.2","0","27.2","0","0"
"1","1","4","0","0","27.2","3.2","0.2","0","27.2","0","0"
"1","1","5","0","0","27.3","3","0.2","0","0","0","0"
"1","1","6","0","5","27.6","3.3","0.2","4.816","27.692","31.717","0"
"1","1","7","0","11","27.8","4","0.2","10.607","27.984","76.287","33.948"
"1","1","8","0","23","27.9","4.3","0.2","22.207","28.268","163.502","118.073"
"1","1","9","464","303","29.6","7.8","0.2","606.948","36.382","4914.685","4700.903"
"1","1","10","536","341","29.8","8","0.2","767.861","38.208","6137.651","5880.534"
"1","1","11","397","456","29.9","8.2","0.2","796.831","38.45","6313.93","6050.567"
"1","1","12","319","501","30","8.4","0.2","776.159","38.175","6138.964","5881.8"
"1","1","13","110","445","30","8.7","0.2","525.781","35.389","4179.39","3991.662"
"1","1","14","42","343","30","8.7","0.2","362.865","33.722","2889.934","2747.896"
