"PVWatts Hourly PV Performance Data"
"Requested Location","darwin australia"
"Location","Lat, Lng: -12.47, 130.86"
"Latitude (DD)","-12.47"
"Longitude (DD)","130.86"
"Elevation (m)","2"
"DC System Size (kW)","7"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","12.47"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","27.4","4.6","0.2","0","27.4","0","0"
"1","1","1","0","0","27.3","4.5","0.2","0","27.3","0","0"
"1","1","2","0","0","27.3","4.2","0.2","0","27.3","0","0"
"1","1","3","0","0","27.2","3.7","0.2","0","27.2","0","0"
"1","1","4","0","0","27.2","3.2","0.2","0","27.2","0","0"
"1","1","5","0","0","27.3","3","0.2","0","0","0","0"
"1","1","6","0","5","27.6","3.3","0.2","4.816","27.692","22.202","0"
"1","1","7","0","11","27.8","4","0.2","10.608","27.984","53.402","23.765"
"1","1","8","0","23","27.9","4.3","0.2","22.208","28.268","114.454","82.653"
"1","1","9","464","303","29.6","7.8","0.2","606.976","36.382","3440.357","3290.707"
"1","1","10","536","341","29.8","8","0.2","767.895","38.208","4296.449","4116.464"
"1","1","11","397","456","29.9","8.2","0.2","796.864","38.451","4419.841","4235.484"
"1","1","12","319","501","30","8.4","0.2","776.191","38.175","4297.36","4117.342"
"1","1","13","110","445","30","8.7","0.2","525.801","35.389","2925.63","2794.218"
"1","1","14","42","343","30","8.7","0.2","362.879","33.722","2022.992","1923.564"
