"PVWatts Hourly PV Performance Data"
"Requested Location","brisbane, qld, australia"
"Location","Lat, Lng: -27.47, 153.02"
"Latitude (DD)","-27.47"
"Longitude (DD)","153.02"
"Elevation (m)","18"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","27.47"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","22.6","4.1","0.2","0","22.6","0","0"
"1","1","1","0","0","22.5","3.9","0.2","0","22.5","0","0"
"1","1","2","0","0","22.3","3.8","0.2","0","22.3","0","0"
"1","1","3","0","0","22.2","3.6","0.2","0","22.2","0","0"
"1","1","4","0","0","22.3","3.6","0.2","0","0","0","0"
"1","1","5","231","33","22.9","4","0.2","24.459","23.316","175.15","129.308"
"1","1","6","682","63","23.8","4.3","0.2","161.578","26.287","1038.358","961.929"
"1","1","7","40","201","24.9","4.5","0.2","191.044","27.983","1559.156","1464.273"
"1","1","8","20","241","26","4.5","0.2","225.01","29.622","1817.28","1713.251"
"1","1","9","56","360","26.5","4.5","0.2","366.142","32.381","2943.81","2799.863"
"1","1","10","939","148","28.6","4.2","0.2","955.886","44.656","7462.739","7158.668"
"1","1","11","947","154","29","4.4","0.2","1016.601","45.601","7880.991","7562.101"
"1","1","12","943","156","29","4.5","0.2","1006.851","45.222","7821.162","7504.391"
"1","1","13","933","147","28.8","4.4","0.2","925.55","43.928","7258.413","6961.583"
"1","1","14","897","138","28.3","4.4","0.2","775.002","40.987","6194.128","5935.01"
"1","1","15","836","125","27.5","4.3","0.2","568.385","36.956","4653.629","4449.096"
"1","1","16","736","104","26.4","4.1","0.2","331.525","31.975","2575.271","2444.383"
"1","1","17","544","73","25","3.8","0.2","106.65","26.74","648.808","586.183"
"1","1","18","0","8","23.9","3.5","0.2","7.048","24.014","33.508","0"
"1","1","19","0","0","23.4","3.4","0.2","0","23.4","0","0"
"1","1","20","0","0","23.3","3.2","0.2","0","23.3","0","0"
"1","1","21","0","0","23.1","2.9","0.2","0","23.1","0","0"
"1","1","22","0","0","22.8","2.5","0.2","0","22.8","0","0"
"1","1","23","0","0","22.5","2.1","0.2","0","22.5","0","0"
"1","2","0","0","0","22.3","1.8","0.2","0","22.3","0","0"
"1","2","1","0","0","22.2","1.8","0.2","0","22.2","0","0"
"1","2","2","0","0","22","2","0.2","0","22","0","0"
"1","2","3","0","0","21.7","2.2","0.2","0","21.7","0","0"
