"PVWatts Hourly PV Performance Data"
"Requested Location","brisbane australia"
"Location","Lat, Lng: -27.47, 153.02"
"Latitude (DD)","-27.47"
"Longitude (DD)","153.02"
"Elevation (m)","18"
"DC System Size (kW)","7"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","27.47"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","22.6","4.1","0.2","0","22.6","0","0"
"1","1","1","0","0","22.5","3.9","0.2","0","22.5","0","0"
"1","1","2","0","0","22.3","3.8","0.2","0","22.3","0","0"
"1","1","3","0","0","22.2","3.6","0.2","0","22.2","0","0"
"1","1","4","0","0","22.3","3.6","0.2","0","0","0","0"
"1","1","5","231","33","22.9","4","0.2","24.479","23.316","122.684","90.592"
"1","1","6","682","63","23.8","4.3","0.2","161.686","26.289","727.351","673.833"
"1","1","7","40","201","24.9","4.5","0.2","191.081","27.983","1091.581","1025.157"
"1","1","8","20","241","26","4.5","0.2","225.051","29.622","1272.281","1199.454"
"1","1","9","56","360","26.5","4.5","0.2","366.209","32.382","2060.962","1960.189"
"1","1","10","939","148","28.6","4.2","0.2","956.109","44.66","5224.76","5011.881"
"1","1","11","947","154","29","4.4","0.2","1016.828","45.605","5517.539","5294.285"
"1","1","12","943","156","29","4.5","0.2","1007.078","45.226","5475.662","5253.893"
"1","1","13","933","147","28.8","4.4","0.2","925.769","43.931","5081.729","4873.918"
"1","1","14","897","138","28.3","4.4","0.2","775.2","40.99","4336.682","4155.271"
"1","1","15","836","125","27.5","4.3","0.2","568.55","36.959","3258.24","3115.043"
"1","1","16","736","104","26.4","4.1","0.2","331.652","31.977","1803.258","1711.616"
"1","1","17","544","73","25","3.8","0.2","106.74","26.742","454.578","410.725"
"1","1","18","0","8","23.9","3.5","0.2","7.05","24.014","23.459","0"
"1","1","19","0","0","23.4","3.4","0.2","0","23.4","0","0"
"1","1","20","0","0","23.3","3.2","0.2","0","23.3","0","0"
"1","1","21","0","0","23.1","2.9","0.2","0","23.1","0","0"
"1","1","22","0","0","22.8","2.5","0.2","0","22.8","0","0"
"1","1","23","0","0","22.5","2.1","0.2","0","22.5","0","0"
"1","2","0","0","0","22.3","1.8","0.2","0","22.3","0","0"
"1","2","1","0","0","22.2","1.8","0.2","0","22.2","0","0"
"1","2","2","0","0","22","2","0.2","0","22","0","0"
"1","2","3","0","0","21.7","2.2","0.2","0","21.7","0","0"
