"PVWatts Hourly PV Performance Data"
"Requested Location","adelaide, sa, australia"
"Location","Lat, Lng: -34.91, 138.58"
"Latitude (DD)","-34.91"
"Longitude (DD)","138.58"
"Elevation (m)","45"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","34.91"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","23.4","1.6","0.2","0","23.4","0","0"
"1","1","1","0","0","22.8","1.5","0.2","0","22.8","0","0"
"1","1","2","0","0","22.2","1.5","0.2","0","22.2","0","0"
"1","1","3","0","0","21.8","1.6","0.2","0","21.8","0","0"
"1","1","4","0","0","22.2","2.1","0.2","0","0","0","0"
"1","1","5","367","56","23.8","2.6","0.2","39.805","24.661","305.817","255.345"
"1","1","6","490","109","25.9","2.7","0.2","167.889","29.316","1163.387","1082.528"
"1","1","7","627","149","27.9","2.8","0.2","381.71","35.849","3032.403","2885.317"
"1","1","8","667","207","28.8","2.9","0.2","592.715","41.002","4744.383","4536.635"
"1","1","9","846","192","24.4","1.5","0.2","830.354","46.849","6456.582","6188.164"
"1","1","10","894","190","25.9","2","0.2","967.834","49.391","7403.974","7101.986"
"1","1","11","920","185","27","2.6","0.2","1034.624","49.383","7892.38","7573.086"
"1","1","12","928","177","27.6","3","0.2","1024.288","48.271","7855.633","7537.641"
"1","1","13","920","166","27.6","3.3","0.2","937.999","45.634","7304.171","7005.72"
"1","1","14","874","164","27.2","3.5","0.2","779.55","41.743","6209.227","5949.574"
"1","1","15","781","160","26.4","3.6","0.2","563.666","36.777","4610.999","4407.978"
"1","1","16","699","127","25.2","3.6","0.2","331.698","31.201","2579.504","2448.466"
"1","1","17","540","89","23.8","3.4","0.2","111.492","25.757","704.926","640.312"
"1","1","18","219","36","22.1","3","0.2","26.363","22.617","181.212","135.156"
"1","1","19","0","0","20.7","2.9","0.2","0","0","0","0"
"1","1","20","0","0","19.7","2.9","0.2","0","19.7","0","0"
"1","1","21","0","0","18.8","2.7","0.2","0","18.8","0","0"
"1","1","22","0","0","18","2.5","0.2","0","18","0","0"
"1","1","23","0","0","17.4","2","0.2","0","17.4","0","0"
