"PVWatts Hourly PV Performance Data"
"Requested Location","adelaide australia"
"Location","Lat, Lng: -34.91, 138.58"
"Latitude (DD)","-34.91"
"Longitude (DD)","138.58"
"Elevation (m)","45"
"DC System Size (kW)","7"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","34.91"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","23.4","1.6","0.2","0","23.4","0","0"
"1","1","1","0","0","22.8","1.5","0.2","0","22.8","0","0"
"1","1","2","0","0","22.2","1.5","0.2","0","22.2","0","0"
"1","1","3","0","0","21.8","1.6","0.2","0","21.8","0","0"
"1","1","4","0","0","22.2","2.1","0.2","0","0","0","0"
"1","1","5","367","56","23.8","2.6","0.2","39.872","24.662","214.394","179.052"
"1","1","6","490","109","25.9","2.7","0.2","168.048","29.32","815.158","758.529"
"1","1","7","627","149","27.9","2.8","0.2","381.914","35.853","2123.648","2020.654"
"1","1","8","667","207","28.8","2.9","0.2","592.962","41.007","3322.168","3176.706"
"1","1","9","846","192","24.4","1.5","0.2","830.67","46.857","4520.877","4332.939"
"1","1","10","894","190","25.9","2","0.2","968.176","49.399","5184.108","4972.669"
"1","1","11","920","185","27","2.6","0.2","1034.975","49.39","5526.024","5302.47"
"1","1","12","928","177","27.6","3","0.2","1024.64","48.277","5500.326","5277.683"
"1","1","13","920","166","27.6","3.3","0.2","938.341","45.64","5114.314","4905.349"
"1","1","14","874","164","27.2","3.5","0.2","779.862","41.748","4347.801","4165.996"
"1","1","15","781","160","26.4","3.6","0.2","563.927","36.781","3228.9","3086.743"
"1","1","16","699","127","25.2","3.6","0.2","331.911","31.205","1806.695","1714.931"
"1","1","17","540","89","23.8","3.4","0.2","111.654","25.76","494.253","448.995"
"1","1","18","219","36","22.1","3","0.2","26.39","22.617","126.965","94.721"
"1","1","19","0","0","20.7","2.9","0.2","0","0","0","0"
"1","1","20","0","0","19.7","2.9","0.2","0","19.7","0","0"
"1","1","21","0","0","18.8","2.7","0.2","0","18.8","0","0"
"1","1","22","0","0","18","2.5","0.2","0","18","0","0"
"1","1","23","0","0","17.4","2","0.2","0","17.4","0","0"
