"PVWatts Hourly PV Performance Data"
"Requested Location","hobart, tas, australia"
"Location","Lat, Lng: -42.87, 147.34"
"Latitude (DD)","-42.87"
"Longitude (DD)","147.34"
"Elevation (m)","13"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","42.87"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","11.7","2.2","0.2","0","11.7","0","0"
"1","1","1","0","0","11.6","2.2","0.2","0","11.6","0","0"
"1","1","2","0","0","11.5","2.2","0.2","0","11.5","0","0"
"1","1","3","0","0","11.5","2.2","0.2","0","11.5","0","0"
"1","1","4","0","0","12.1","2.4","0.2","0","0","0","0"
"1","1","5","8","48","13.3","2.9","0.2","35.649","14.029","282.777","233.122"
"1","1","6","99","125","14.5","3.3","0.2","95.146","16.315","769.738","702.828"
"1","1","7","12","166","16","3.5","0.2","130.909","18.443","1099.839","1021.231"
"1","1","8","14","198","17.6","3.6","0.2","161.864","20.568","1348.067","1260.664"
"1","1","9","78","347","18.4","3.8","0.2","339.777","24.435","2832.659","2692.651"
"1","1","10","929","133","21","2.9","0.2","908.543","39.678","7269.77","6972.537"
"1","1","11","946","134","22.4","3.1","0.2","997.292","42.209","7867.13","7548.73"
"1","1","12","24","422","23.4","3.4","0.2","365.719","30.284","2950.466","2806.284"
"1","1","13","29","484","23.9","3.7","0.2","420.447","31.461","3392.586","3232.738"
"1","1","14","916","124","23.8","3.9","0.2","830.313","38.384","6700.927","6423.851"
"1","1","15","871","117","23.2","4","0.2","649.469","34.463","5359.506","5129.962"
"1","1","16","803","106","22","4.3","0.2","427.611","29.063","3503.214","3339.445"
"1","1","17","685","91","20.4","4.5","0.2","195.202","23.378","1348.048","1260.646"
"1","1","18","491","64","18.7","4.4","0.2","44.598","19.431","358.211","305.882"
"1","1","19","117","21","17.4","4.1","0.2","14.938","17.614","70.783","28.639"
"1","1","20","0","0","16.7","3.9","0.2","0","16.7","0","0"
"1","1","21","0","0","16.5","3.6","0.2","0","16.5","0","0"
"1","1","22","0","0","16.5","3","0.2","0","16.5","0","0"
"1","1","23","0","0","16.5","2.5","0.2","0","16.5","0","0"
"1","2","0","0","0","16.4","2.2","0.2","0","16.4","0","0"
"1","2","1","0","0","16.4","2.1","0.2","0","16.4","0","0"
"1","2","2","0","0","16.1","2.1","0.2","0","16.1","0","0"
"1","2","3","0","0","15.8","2.2","0.2","0","15.8","0","0"
"1","2","4","0","0","16.3","2.5","0.2","0","0","0","0"
"1","2","5","0","31","17.9","2.9","0.2","23.99","18.39","182.976","136.857"
"1","2","6","211","164","19.8","3","0.2","124.564","22.277","965.539","891.691"
"1","2","7","243","285","21.8","2.9","0.2","288.813","27.706","2345.26","2222.522"
"1","2","8","227","406","23.8","3","0.2","445.151","32.799","3651.716","3482.685"
"1","2","9","156","516","24.8","3.1","0.2","538.475","35.476","4339.816","4146.404"
"1","2","10","135","594","27.8","2.8","0.2","620.67","40.728","4875.255","4662.869"
"1","2","11","26","487","29.5","2.6","0.2","422.296","38.598","3306.604","3149.803"
"1","2","12","28","168","30.6","2.3","0.2","165.405","34.369","1281.937","1196.877"
"1","2","13","67","584","31.2","2.2","0.2","560.926","44.234","4323.237","4130.412"
"1","2","14","29","191","31.3","2.3","0.2","178.637","35.377","1390.18","1301.285"
"1","2","15","26","143","30.9","2.5","0.2","130.884","33.783","1020.188","944.403"
"1","2","16","24","184","30.1","2.4","0.2","154.381","33.57","1220.358","1137.481"
"1","2","17","20","133","28.5","2.1","0.2","104.382","30.988","823.413","754.601"
"1","2","18","1","61","26.2","1.8","0.2","46.209","27.373","359.305","306.938"
"1","2","19","0","12","24","2.3","0.2","9.252","24.178","41.347","0.247"
"1","2","20","0","0","22.9","3.1","0.2","0","22.9","0","0"
"1","2","21","0","0","22.3","3.8","0.2","0","22.3","0","0"
"1","2","22","0","0","21.8","4","0.2","0","21.8","0","0"
"1","2","23","0","0","21.4","3.7","0.2","0","21.4","0","0"
"1","3","0","0","0","21.1","3.1","0.2","0","21.1","0","0"
"1","3","1","0","0","20.9","2.5","0.2","0","20.9","0","0"
"1","3","2","0","0","20.7","2.1","0.2","0","20.7","0","0"
"1","3","3","0","0","20.6","2","0.2","0","20.6","0","0"
"1","3","4","0","0","21","2.2","0.2","0","0","0","0"
"1","3","5","0","32","22.1","2.7","0.2","24.774","22.624","185.191","138.993"
"1","3","6","12","87","23","3.3","0.2","66.678","24.285","533.975","475.419"
"1","3","7","220","286","23.9","4","0.2","282.03","28.756","2283.087","2162.553"
"1","3","8","255","399","25","4.5","0.2","454.097","32.331","3735.7","3563.693"
"1","3","9","117","509","25.5","4.4","0.2","504.93","33.737","4090.759","3906.172"
"1","3","10","54","541","25.1","4.8","0.2","505.113","32.898","4076.077","3892.01"
"1","3","11","44","565","24.7","4.8","0.2","527.286","32.833","4244.787","4054.742"
"1","3","12","25","377","25","4.5","0.2","328.798","30.275","2646.388","2512.98"
"1","3","13","30","233","25.8","4.2","0.2","219.972","29.48","1760.159","1658.154"
"1","3","14","26","309","26.4","3.9","0.2","275.401","31.214","2210.974","2092.994"
"1","3","15","99","451","26.4","3.6","0.2","428.603","34.254","3467.429","3304.929"
"1","3","16","826","89","26","3.5","0.2","426.163","33.915","3427.878","3266.779"
"1","3","17","735","73","25.2","3.2","0.2","196.085","28.809","1307.09","1221.139"
"1","3","18","551","54","23.6","2.2","0.2","36.933","24.464","287.32","237.503"
"1","3","19","181","19","21.7","1.1","0.2","14.053","22.051","64.9","22.965"
"1","3","20","0","0","20.6","0.7","0.2","0","20.6","0","0"
"1","3","21","0","0","19.8","0.6","0.2","0","19.8","0","0"
"1","3","22","0","0","18.9","0.7","0.2","0","18.9","0","0"
"1","3","23","0","0","18.3","0.9","0.2","0","18.3","0","0"
"1","4","0","0","0","17.9","1","0.2","0","17.9","0","0"
"1","4","1","0","0","17.7","1.3","0.2","0","17.7","0","0"
"1","4","2","0","0","18","1.6","0.2","0","18","0","0"
"1","4","3","0","0","18.4","2","0.2","0","18.4","0","0"
"1","4","4","0","0","18.8","2.5","0.2","0","0","0","0"
"1","4","5","2","46","19.2","4.6","0.2","34.146","19.74","262.126","213.203"
"1","4","6","35","132","18.8","7.4","0.2","95.523","19.909","785.157","717.7"
"1","4","7","775","98","18.3","8.6","0.2","316.426","21.527","2504.872","2376.479"
"1","4","8","26","273","18.2","9.2","0.2","226.821","20.441","1912.294","1804.898"
"1","4","9","156","515","18.2","9.7","0.2","537.659","23.295","4543.662","4343.026"
"1","4","10","981","120","18.1","9.9","0.2","940.554","26.897","7907.317","7587.494"
"1","4","11","28","305","18.2","9.6","0.2","281.733","20.883","2346.33","2223.554"
"1","4","12","42","566","18.3","9.2","0.2","528.546","23.497","4408.606","4212.756"
"1","4","13","132","620","18.4","8.9","0.2","652.426","24.985","5442.076","5209.606"
"1","4","14","0","800","18.2","8.5","0.2","665.678","25.154","5549.767","5313.481"
"1","4","15","946","98","17.6","8.3","0.2","681.96","24.904","5842.928","5596.254"
"1","4","16","881","92","16.7","7.9","0.2","453.544","21.706","3832.649","3657.207"
"1","4","17","782","77","15.6","7.2","0.2","209.69","17.939","1467.686","1376.044"
"1","4","18","595","56","14.4","6.2","0.2","38.49","14.906","313.176","262.443"
"1","4","19","187","22","13.3","5.1","0.2","16.566","13.508","80.515","38.027"
"1","4","20","0","0","12.6","4.3","0.2","0","12.6","0","0"
"1","4","21","0","0","12.1","3.9","0.2","0","12.1","0","0"
"1","4","22","0","0","11.8","3.8","0.2","0","11.8","0","0"
"1","4","23","0","0","11.5","3.7","0.2","0","11.5","0","0"
"1","5","0","0","0","11.2","3.6","0.2","0","11.2","0","0"
"1","5","1","0","0","11","3.5","0.2","0","11","0","0"
"1","5","2","0","0","10.9","3.5","0.2","0","10.9","0","0"
"1","5","3","0","0","10.9","3.5","0.2","0","10.9","0","0"
"1","5","4","0","0","11.4","3.8","0.2","0","0","0","0"
"1","5","5","0","18","12.9","4.5","0.2","13.878","13.122","105.125","61.764"
"1","5","6","212","159","14.3","5.3","0.2","119.948","16.02","953.201","879.789"
"1","5","7","323","301","15.4","5.6","0.2","322.227","19.899","2690.513","2555.542"
"1","5","8","25","159","16.4","5.8","0.2","139.634","18.317","1169.23","1088.164"
"1","5","9","37","421","17","5.8","0.2","373.464","22.114","3142.697","2991.703"
"1","5","10","24","396","18.1","6.2","0.2","339.703","22.54","2830.712","2690.773"
"1","5","11","67","600","18.5","6.4","0.2","580.998","25.928","4812.623","4602.457"
"1","5","12","30","237","18.7","6.7","0.2","226.1","21.501","1866.868","1761.082"
"1","5","13","29","277","18.6","7","0.2","256.852","21.686","2129.861","2014.756"
"1","5","14","32","758","18.1","7.3","0.2","654.054","25.735","5445.333","5212.748"
"1","5","15","112","594","17.3","7.3","0.2","557.672","23.826","4714.285","4507.604"
"1","5","16","24","214","16.2","7.2","0.2","175.705","18.28","1486.591","1394.28"
