"PVWatts Hourly PV Performance Data"
"Requested Location","hobart australia"
"Location","Lat, Lng: -42.87, 147.34"
"Latitude (DD)","-42.87"
"Longitude (DD)","147.34"
"Elevation (m)","13"
"DC System Size (kW)","7"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","42.87"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","11.7","2.2","0.2","0","11.7","0","0"
"1","1","1","0","0","11.6","2.2","0.2","0","11.6","0","0"
"1","1","2","0","0","11.5","2.2","0.2","0","11.5","0","0"
"1","1","3","0","0","11.5","2.2","0.2","0","11.5","0","0"
"1","1","4","0","0","12.1","2.4","0.2","0","0","0","0"
"1","1","5","8","48","13.3","2.9","0.2","35.667","14.029","198.04","163.277"
"1","1","6","99","125","14.5","3.3","0.2","95.232","16.317","539.286","492.432"
"1","1","7","12","166","16","3.5","0.2","130.973","18.444","770.232","715.195"
"1","1","8","14","198","17.6","3.6","0.2","161.94","20.569","944.052","882.855"
"1","1","9","78","347","18.4","3.8","0.2","339.935","24.438","1983.681","1885.646"
"1","1","10","929","133","21","2.9","0.2","909.022","39.687","5090.968","4882.83"
"1","1","11","946","134","22.4","3.1","0.2","997.785","42.218","5509.126","5286.171"
"1","1","12","24","422","23.4","3.4","0.2","365.879","30.287","2066.132","1965.176"
"1","1","13","29","484","23.9","3.7","0.2","420.632","31.464","2375.732","2263.806"
"1","1","14","916","124","23.8","3.9","0.2","830.775","38.392","4692.777","4498.749"
"1","1","15","871","117","23.2","4","0.2","649.889","34.47","3753.692","3592.939"
"1","1","16","803","106","22","4.3","0.2","427.98","29.069","2454.154","2339.448"
"1","1","17","685","91","20.4","4.5","0.2","195.538","23.383","945.436","884.19"
"1","1","18","491","64","18.7","4.4","0.2","44.766","19.433","251.627","214.966"
"1","1","19","117","21","17.4","4.1","0.2","14.955","17.614","49.602","20.099"
"1","1","20","0","0","16.7","3.9","0.2","0","16.7","0","0"
"1","1","21","0","0","16.5","3.6","0.2","0","16.5","0","0"
"1","1","22","0","0","16.5","3","0.2","0","16.5","0","0"
"1","1","23","0","0","16.5","2.5","0.2","0","16.5","0","0"
"1","2","0","0","0","16.4","2.2","0.2","0","16.4","0","0"
"1","2","1","0","0","16.4","2.1","0.2","0","16.4","0","0"
"1","2","2","0","0","16.1","2.1","0.2","0","16.1","0","0"
"1","2","3","0","0","15.8","2.2","0.2","0","15.8","0","0"
"1","2","4","0","0","16.3","2.5","0.2","0","0","0","0"
"1","2","5","0","31","17.9","2.9","0.2","24.001","18.391","128.138","95.852"
"1","2","6","211","164","19.8","3","0.2","124.71","22.279","676.661","624.939"
"1","2","7","243","285","21.8","2.9","0.2","289.014","27.71","1642.735","1556.781"
"1","2","8","227","406","23.8","3","0.2","445.391","32.804","2557.401","2439.037"
"1","2","9","156","516","24.8","3.1","0.2","538.728","35.481","3039.097","2903.665"
"1","2","10","135","594","27.8","2.8","0.2","620.943","40.733","3413.95","3265.235"
"1","2","11","26","487","29.5","2.6","0.2","422.48","38.602","2315.51","2205.718"
"1","2","12","28","168","30.6","2.3","0.2","165.478","34.371","897.715","838.16"
"1","2","13","67","584","31.2","2.2","0.2","561.164","44.239","3027.36","2892.344"
"1","2","14","29","191","31.3","2.3","0.2","178.718","35.379","973.527","911.286"
"1","2","15","26","143","30.9","2.5","0.2","130.946","33.784","714.442","661.381"
"1","2","16","24","184","30.1","2.4","0.2","154.456","33.572","854.632","796.604"
"1","2","17","20","133","28.5","2.1","0.2","104.438","30.989","576.677","528.498"
"1","2","18","1","61","26.2","1.8","0.2","46.23","27.374","251.625","214.964"
"1","2","19","0","12","24","2.3","0.2","9.257","24.178","28.956","0.185"
"1","2","20","0","0","22.9","3.1","0.2","0","22.9","0","0"
"1","2","21","0","0","22.3","3.8","0.2","0","22.3","0","0"
"1","2","22","0","0","21.8","4","0.2","0","21.8","0","0"
"1","2","23","0","0","21.4","3.7","0.2","0","21.4","0","0"
"1","3","0","0","0","21.1","3.1","0.2","0","21.1","0","0"
"1","3","1","0","0","20.9","2.5","0.2","0","20.9","0","0"
"1","3","2","0","0","20.7","2.1","0.2","0","20.7","0","0"
"1","3","3","0","0","20.6","2","0.2","0","20.6","0","0"
"1","3","4","0","0","21","2.2","0.2","0","0","0","0"
"1","3","5","0","32","22.1","2.7","0.2","24.785","22.624","129.689","97.349"
"1","3","6","12","87","23","3.3","0.2","66.714","24.286","373.97","332.974"
"1","3","7","220","286","23.9","4","0.2","282.222","28.759","1599.167","1514.757"
"1","3","8","255","399","25","4.5","0.2","454.347","32.335","2616.247","2495.798"
"1","3","9","117","509","25.5","4.4","0.2","505.163","33.74","2864.682","2735.43"
"1","3","10","54","541","25.1","4.8","0.2","505.33","32.901","2854.326","2725.44"
"1","3","11","44","565","24.7","4.8","0.2","527.507","32.836","2972.438","2839.367"
"1","3","12","25","377","25","4.5","0.2","328.943","30.277","1853.205","1759.793"
"1","3","13","30","233","25.8","4.2","0.2","220.068","29.482","1232.602","1161.181"
"1","3","14","26","309","26.4","3.9","0.2","275.522","31.216","1548.296","1465.688"
"1","3","15","99","451","26.4","3.6","0.2","428.806","34.258","2428.21","2314.424"
"1","3","16","826","89","26","3.5","0.2","426.536","33.922","2401.394","2288.558"
"1","3","17","735","73","25.2","3.2","0.2","196.436","28.815","916.803","856.572"
"1","3","18","551","54","23.6","2.2","0.2","37.115","24.468","202.053","167.149"
"1","3","19","181","19","21.7","1.1","0.2","14.075","22.052","45.497","16.14"
"1","3","20","0","0","20.6","0.7","0.2","0","20.6","0","0"
"1","3","21","0","0","19.8","0.6","0.2","0","19.8","0","0"
"1","3","22","0","0","18.9","0.7","0.2","0","18.9","0","0"
"1","3","23","0","0","18.3","0.9","0.2","0","18.3","0","0"
"1","4","0","0","0","17.9","1","0.2","0","17.9","0","0"
"1","4","1","0","0","17.7","1.3","0.2","0","17.7","0","0"
"1","4","2","0","0","18","1.6","0.2","0","18","0","0"
"1","4","3","0","0","18.4","2","0.2","0","18.4","0","0"
"1","4","4","0","0","18.8","2.5","0.2","0","0","0","0"
"1","4","5","2","46","19.2","4.6","0.2","34.163","19.74","183.572","149.322"
"1","4","6","35","132","18.8","7.4","0.2","95.584","19.91","549.94","502.709"
"1","4","7","775","98","18.3","8.6","0.2","316.781","21.53","1755.336","1665.393"
"1","4","8","26","273","18.2","9.2","0.2","226.929","20.442","1339.185","1263.987"
"1","4","9","156","515","18.2","9.7","0.2","537.911","23.297","3181.877","3041.385"
"1","4","10","981","120","18.1","9.9","0.2","941.052","26.901","5537.556","5313.594"
"1","4","11","28","305","18.2","9.6","0.2","281.854","20.884","1643.071","1557.106"
"1","4","12","42","566","18.3","9.2","0.2","528.767","23.499","3087.161","2950.026"
"1","4","13","132","620","18.4","8.9","0.2","652.708","24.988","3810.882","3648.103"
"1","4","14","0","800","18.2","8.5","0.2","665.962","25.157","3886.277","3720.826"
"1","4","15","946","98","17.6","8.3","0.2","682.406","24.909","4092.33","3919.577"
"1","4","16","881","92","16.7","7.9","0.2","453.941","21.71","2684.973","2562.089"
"1","4","17","782","77","15.6","7.2","0.2","210.063","17.943","1029.431","965.21"
"1","4","18","595","56","14.4","6.2","0.2","38.686","14.909","220.268","184.718"
"1","4","19","187","22","13.3","5.1","0.2","16.59","13.508","56.435","26.691"
"1","4","20","0","0","12.6","4.3","0.2","0","12.6","0","0"
"1","4","21","0","0","12.1","3.9","0.2","0","12.1","0","0"
"1","4","22","0","0","11.8","3.8","0.2","0","11.8","0","0"
"1","4","23","0","0","11.5","3.7","0.2","0","11.5","0","0"
"1","5","0","0","0","11.2","3.6","0.2","0","11.2","0","0"
"1","5","1","0","0","11","3.5","0.2","0","11","0","0"
"1","5","2","0","0","10.9","3.5","0.2","0","10.9","0","0"
"1","5","3","0","0","10.9","3.5","0.2","0","10.9","0","0"
"1","5","4","0","0","11.4","3.8","0.2","0","0","0","0"
"1","5","5","0","18","12.9","4.5","0.2","13.884","13.122","73.619","43.266"
"1","5","6","212","159","14.3","5.3","0.2","120.091","16.022","668.026","616.61"
"1","5","7","323","301","15.4","5.6","0.2","322.467","19.903","1884.663","1790.137"
"1","5","8","25","159","16.4","5.8","0.2","139.701","18.318","818.82","762.061"
"1","5","9","37","421","17","5.8","0.2","373.63","22.116","2200.759","2095.032"
"1","5","10","24","396","18.1","6.2","0.2","339.855","22.542","1982.291","1884.305"
"1","5","11","67","600","18.5","6.4","0.2","581.242","25.931","3370.07","3222.91"
"1","5","12","30","237","18.7","6.7","0.2","226.198","21.502","1307.323","1233.254"
"1","5","13","29","277","18.6","7","0.2","256.964","21.688","1491.49","1410.896"
"1","5","14","32","758","18.1","7.3","0.2","654.337","25.738","3813.166","3650.305"
"1","5","15","112","594","17.3","7.3","0.2","557.931","23.829","3301.343","3156.618"
"1","5","16","24","214","16.2","7.2","0.2","175.791","18.281","1041.08","976.445"
"1","5","17","136","220","15.1","6.8","0.2","184.998","17.364","1073.692","1007.902"
