"PVWatts Hourly PV Performance Data"
"Requested Location","melbourne, vic, australia"
"Location","Lat, Lng: -37.83, 144.98"
"Latitude (DD)","-37.83"
"Longitude (DD)","144.98"
"Elevation (m)","22"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","37.83"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","21","1.7","0.2","0","21","0","0"
"1","1","1","0","0","20","2.1","0.2","0","20","0","0"
"1","1","2","0","0","19.4","2.4","0.2","0","19.4","0","0"
"1","1","3","0","0","19","2.5","0.2","0","19","0","0"
"1","1","4","0","0","19.1","2.2","0.2","0","19.1","0","0"
"1","1","5","71","32","20.5","1.9","0.2","24.031","21.051","143.634","98.909"
"1","1","6","450","89","22.6","1.7","0.2","74.681","24.456","518.439","460.433"
"1","1","7","194","196","24.5","1.5","0.2","207.291","30.064","1637.632","1539.968"
"1","1","8","82","286","26","1.7","0.2","274.746","33.104","2218.033","2099.804"
"1","1","9","81","369","26.7","1.8","0.2","365.986","35.943","2919.156","2776.083"
"1","1","10","984","107","23","2.5","0.2","911.721","43.122","7195.625","6901.02"
"1","1","11","1004","108","24.4","2.6","0.2","1015.736","46.393","7871.487","7552.933"
"1","1","12","1010","108","25.3","2.6","0.2","1046.075","47.945","8043.147","7718.51"
