"PVWatts Hourly PV Performance Data"
"Requested Location","perth, wa, australia"
"Location","Lat, Lng: -31.95, 115.86"
"Latitude (DD)","-31.95"
"Longitude (DD)","115.86"
"Elevation (m)","11"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","31.95"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","18.7","4.6","0.2","0","18.7","0","0"
"1","1","1","0","0","18.5","4.6","0.2","0","18.5","0","0"
"1","1","2","0","0","18.3","4.7","0.2","0","18.3","0","0"
"1","1","3","0","0","18.1","4.8","0.2","0","18.1","0","0"
"1","1","4","0","0","17.9","4.8","0.2","0","17.9","0","0"
"1","1","5","179","18","18.5","4.8","0.2","13.456","18.675","62.972","21.105"
"1","1","6","625","57","19.6","4.5","0.2","68.08","20.582","392.124","338.594"
"1","1","7","809","77","20.2","4.2","0.2","296.127","25.054","2266.78","2146.823"
"1","1","8","845","97","28.1","3.5","0.2","514.948","37.726","4189.63","4001.539"
"1","1","9","902","108","29.2","4","0.2","722.756","41.721","5772.927","5528.734"
"1","1","10","934","116","29.9","4.6","0.2","881.759","43.936","6930.542","6645.329"
"1","1","11","912","147","30.1","5","0.2","965.063","44.673","7524.749","7218.481"
"1","1","12","892","165","29.9","5.3","0.2","979.934","44.155","7646.324","7335.749"
"1","1","13","858","180","29.6","5.5","0.2","935.961","42.896","7352.906","7052.728"
"1","1","14","25","334","29.1","5.7","0.2","313.7","33.437","2496.952","2368.839"
"1","1","15","31","375","28.3","5.9","0.2","341.123","32.919","2748.096","2611.084"
"1","1","16","24","211","27.3","6","0.2","189.368","29.842","1531.887","1437.971"
"1","1","17","0","14","26.1","5.9","0.2","11.933","26.263","87.473","44.738"
"1","1","18","0","6","24.8","5.5","0.2","5.099","24.872","35.39","0"
"1","1","19","0","0","23.8","5","0.2","0","0","0","0"
"1","1","20","0","0","23.2","4.5","0.2","0","23.2","0","0"
"1","1","21","0","0","22.9","4.1","0.2","0","22.9","0","0"
"1","1","22","0","0","22.7","3.7","0.2","0","22.7","0","0"
"1","1","23","0","0","22.6","3.6","0.2","0","22.6","0","0"
"1","2","0","0","0","22.6","3.7","0.2","0","22.6","0","0"
"1","2","1","0","0","22.4","3.9","0.2","0","22.4","0","0"
"1","2","2","0","0","22.2","4.3","0.2","0","22.2","0","0"
"1","2","3","0","0","22","4.7","0.2","0","22","0","0"
"1","2","4","0","0","21.8","4.9","0.2","0","21.8","0","0"
"1","2","5","126","17","22","4.6","0.2","12.585","22.168","57.656","15.977"
"1","2","6","548","59","22.6","4.2","0.2","65.417","23.602","389.158","335.733"
"1","2","7","746","81","23.1","4","0.2","280.736","27.837","2126.119","2011.147"
"1","2","8","858","93","24.8","4.1","0.2","517.135","33.643","4276.624","4085.451"
"1","2","9","918","102","25.7","4.4","0.2","727.57","37.618","5909.456","5660.425"
"1","2","10","949","111","26.3","5","0.2","889.352","39.745","7109.897","6818.329"
"1","2","11","928","143","26.5","5.6","0.2","976.392","40.209","7750.851","7436.572"
"1","2","12","938","141","26.4","5.8","0.2","1003.228","40.161","7955.756","7634.217"
"1","2","13","941","132","26.1","5.7","0.2","960.654","39.436","7658.875","7347.855"
"1","2","14","940","113","25.7","5.4","0.2","848.074","37.911","6843.125","6561.01"
"1","2","15","909","101","25.2","5.2","0.2","671.244","35.122","5519.876","5284.649"
"1","2","16","854","86","24.4","5.1","0.2","450.568","31.116","3694.583","3524.033"
"1","2","17","749","69","23.4","5.1","0.2","213.769","26.433","1484.381","1392.148"
"1","2","18","528","44","22.2","4.8","0.2","31.354","22.686","241.184","193.002"
"1","2","19","0","0","21.2","4.3","0.2","0","0","0","0"
"1","2","20","0","0","20.6","4.1","0.2","0","20.6","0","0"
"1","2","21","0","0","20.2","4.5","0.2","0","20.2","0","0"
"1","2","22","0","0","20","4.8","0.2","0","20","0","0"
"1","2","23","0","0","19.8","4.7","0.2","0","19.8","0","0"
"1","3","0","0","0","19.7","4.4","0.2","0","19.7","0","0"
"1","3","1","0","0","19.6","4.2","0.2","0","19.6","0","0"
"1","3","2","0","0","19.6","4","0.2","0","19.6","0","0"
"1","3","3","0","0","19.7","3.9","0.2","0","19.7","0","0"
"1","3","4","0","0","19.9","3.8","0.2","0","19.9","0","0"
"1","3","5","159","16","20.6","4.1","0.2","11.791","20.769","54.218","12.661"
"1","3","6","610","55","21.7","4.5","0.2","63.457","22.619","364.226","311.685"
"1","3","7","795","76","22.2","4.7","0.2","288.668","26.619","2188.725","2071.535"
"1","3","8","889","92","23.9","5.6","0.2","530.595","31.379","4428.207","4231.662"
"1","3","9","942","103","24.7","6.2","0.2","744.166","34.49","6119.788","5863.304"
"1","3","10","974","110","25.2","6.5","0.2","908.803","36.757","7350.826","7050.722"
"1","3","11","961","138","25.4","6.7","0.2","1002.342","37.868","8028.748","7704.622"
"1","3","12","973","136","25.4","7","0.2","1032.271","37.851","8257.995","7925.746"
"1","3","13","968","133","25.1","7.5","0.2","986.702","36.436","7956.787","7635.211"
"1","3","14","934","138","24.6","7.9","0.2","866.868","34.202","7091.854","6800.926"
"1","3","15","861","144","23.9","7.9","0.2","682.705","31.475","5687.133","5445.98"
"1","3","16","749","143","23","7.8","0.2","455.573","28.086","3785.946","3612.159"
"1","3","17","564","125","22.2","7.6","0.2","219.711","24.619","1622.751","1525.615"
"1","3","18","265","76","21.3","7.3","0.2","55.416","21.949","439.751","384.533"
"1","3","19","0","0","20.8","7","0.2","0","0","0","0"
"1","3","20","0","0","20.5","6.9","0.2","0","20.5","0","0"
"1","3","21","0","0","20.3","6.8","0.2","0","20.3","0","0"
"1","3","22","0","0","20.1","6.8","0.2","0","20.1","0","0"
"1","3","23","0","0","19.9","6.7","0.2","0","19.9","0","0"
"1","4","0","0","0","19.7","6.6","0.2","0","19.7","0","0"
"1","4","1","0","0","19.5","6.6","0.2","0","19.5","0","0"
"1","4","2","0","0","19.2","6.4","0.2","0","19.2","0","0"
"1","4","3","0","0","18.9","6.2","0.2","0","18.9","0","0"
"1","4","4","0","0","18.6","6","0.2","0","18.6","0","0"
"1","4","5","26","17","18.9","5.9","0.2","14.087","19.061","65.998","24.024"
"1","4","6","467","79","19.8","5.9","0.2","74.96","20.762","503.157","445.693"
"1","4","7","722","104","20.2","5.8","0.2","289.248","24.081","2235.865","2117.004"
"1","4","8","854","115","21.8","5.4","0.2","532.481","29.484","4473.438","4275.291"
"1","4","9","930","120","22.9","5.4","0.2","750.401","33.718","6187.383","5928.503"
"1","4","10","971","123","23.8","5.4","0.2","917.712","37.008","7413.021","7110.713"
"1","4","11","985","127","24.4","5.5","0.2","1014.916","38.821","8099.183","7772.562"
"1","4","12","993","126","24.7","5.7","0.2","1043.069","39.175","8300.826","7967.059"
"1","4","13","982","124","24.8","6.1","0.2","992.514","37.969","7956.211","7634.655"
"1","4","14","932","135","24.5","6.5","0.2","864.216","35.492","7035.142","6746.223"
"1","4","15","888","125","23.9","6.5","0.2","684.445","32.622","5679.425","5438.544"
"1","4","16","815","110","23.1","6.4","0.2","458.652","28.988","3799.586","3625.316"
"1","4","17","688","89","22.2","6.2","0.2","218.828","24.951","1564.959","1469.87"
"1","4","18","432","56","21.2","6","0.2","41.51","21.757","325.311","274.148"
"1","4","19","0","0","20.3","5.9","0.2","0","0","0","0"
"1","4","20","0","0","19.8","5.8","0.2","0","19.8","0","0"
