"PVWatts Hourly PV Performance Data"
"Requested Location","perth australia"
"Location","Lat, Lng: -31.95, 115.86"
"Latitude (DD)","-31.95"
"Longitude (DD)","115.86"
"Elevation (m)","11"
"DC System Size (kW)","7"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","31.95"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","18.7","4.6","0.2","0","18.7","0","0"
"1","1","1","0","0","18.5","4.6","0.2","0","18.5","0","0"
"1","1","2","0","0","18.3","4.7","0.2","0","18.3","0","0"
"1","1","3","0","0","18.1","4.8","0.2","0","18.1","0","0"
"1","1","4","0","0","17.9","4.8","0.2","0","17.9","0","0"
"1","1","5","179","18","18.5","4.8","0.2","13.468","18.675","44.116","14.808"
"1","1","6","625","57","19.6","4.5","0.2","68.207","20.584","275.1","237.607"
"1","1","7","809","77","20.2","4.2","0.2","296.313","25.057","1587.656","1503.654"
"1","1","8","845","97","28.1","3.5","0.2","515.165","37.73","2933.715","2802.017"
"1","1","9","902","108","29.2","4","0.2","723.012","41.725","4042.138","3871.164"
"1","1","10","934","116","29.9","4.6","0.2","882.042","43.941","4852.538","4652.848"
"1","1","11","912","147","30.1","5","0.2","965.352","44.677","5268.488","5054.06"
"1","1","12","892","165","29.9","5.3","0.2","980.221","44.159","5353.584","5136.14"
"1","1","13","858","180","29.6","5.5","0.2","936.24","42.9","5148.182","4938.016"
"1","1","14","25","334","29.1","5.7","0.2","313.776","33.438","1748.218","1658.527"
"1","1","15","31","375","28.3","5.9","0.2","341.209","32.92","1924.066","1828.144"
"1","1","16","24","211","27.3","6","0.2","189.417","29.843","1072.556","1006.806"
"1","1","17","0","14","26.1","5.9","0.2","11.936","26.263","61.244","31.329"
"1","1","18","0","6","24.8","5.5","0.2","5.101","24.872","24.778","0"
"1","1","19","0","0","23.8","5","0.2","0","0","0","0"
"1","1","20","0","0","23.2","4.5","0.2","0","23.2","0","0"
"1","1","21","0","0","22.9","4.1","0.2","0","22.9","0","0"
"1","1","22","0","0","22.7","3.7","0.2","0","22.7","0","0"
"1","1","23","0","0","22.6","3.6","0.2","0","22.6","0","0"
"1","2","0","0","0","22.6","3.7","0.2","0","22.6","0","0"
"1","2","1","0","0","22.4","3.9","0.2","0","22.4","0","0"
"1","2","2","0","0","22.2","4.3","0.2","0","22.2","0","0"
"1","2","3","0","0","22","4.7","0.2","0","22","0","0"
"1","2","4","0","0","21.8","4.9","0.2","0","21.8","0","0"
"1","2","5","126","17","22","4.6","0.2","12.595","22.168","40.386","11.21"
"1","2","6","548","59","22.6","4.2","0.2","65.529","23.604","272.946","235.529"
"1","2","7","746","81","23.1","4","0.2","280.91","27.84","1489.124","1408.613"
"1","2","8","858","93","24.8","4.1","0.2","517.355","33.646","2994.64","2860.783"
"1","2","9","918","102","25.7","4.4","0.2","727.829","37.622","4137.742","3963.38"
"1","2","10","949","111","26.3","5","0.2","889.637","39.749","4978.122","4773.983"
"1","2","11","928","143","26.5","5.6","0.2","976.684","40.213","5426.802","5206.764"
"1","2","12","938","141","26.4","5.8","0.2","1003.523","40.165","5570.24","5345.119"
"1","2","13","941","132","26.1","5.7","0.2","960.948","39.439","5362.43","5144.673"
"1","2","14","940","113","25.7","5.4","0.2","848.354","37.915","4791.378","4593.856"
"1","2","15","909","101","25.2","5.2","0.2","671.494","35.126","3865.024","3700.326"
"1","2","16","854","86","24.4","5.1","0.2","450.778","31.119","2587.192","2467.773"
"1","2","17","749","69","23.4","5.1","0.2","213.94","26.435","1039.907","975.314"
"1","2","18","528","44","22.2","4.8","0.2","31.434","22.687","169.198","135.458"
"1","2","19","0","0","21.2","4.3","0.2","0","0","0","0"
"1","2","20","0","0","20.6","4.1","0.2","0","20.6","0","0"
"1","2","21","0","0","20.2","4.5","0.2","0","20.2","0","0"
"1","2","22","0","0","20","4.8","0.2","0","20","0","0"
"1","2","23","0","0","19.8","4.7","0.2","0","19.8","0","0"
"1","3","0","0","0","19.7","4.4","0.2","0","19.7","0","0"
"1","3","1","0","0","19.6","4.2","0.2","0","19.6","0","0"
"1","3","2","0","0","19.6","4","0.2","0","19.6","0","0"
"1","3","3","0","0","19.7","3.9","0.2","0","19.7","0","0"
"1","3","4","0","0","19.9","3.8","0.2","0","19.9","0","0"
"1","3","5","159","16","20.6","4.1","0.2","11.802","20.769","37.984","8.893"
"1","3","6","610","55","21.7","4.5","0.2","63.579","22.621","255.539","218.739"
"1","3","7","795","76","22.2","4.7","0.2","288.851","26.621","1532.998","1450.933"
"1","3","8","889","92","23.9","5.6","0.2","530.821","31.382","3100.794","2963.176"
"1","3","9","942","103","24.7","6.2","0.2","744.431","34.493","4285.026","4105.446"
"1","3","10","974","110","25.2","6.5","0.2","909.096","36.76","5146.825","4936.708"
"1","3","11","961","138","25.4","6.7","0.2","1002.643","37.872","5621.381","5394.448"
"1","3","12","973","136","25.4","7","0.2","1032.574","37.854","5781.86","5549.241"
"1","3","13","968","133","25.1","7.5","0.2","987.003","36.439","5571.026","5345.878"
"1","3","14","934","138","24.6","7.9","0.2","867.151","34.205","4965.536","4761.843"
"1","3","15","861","144","23.9","7.9","0.2","682.951","31.478","3982.118","3813.271"
"1","3","16","749","143","23","7.8","0.2","455.771","28.088","2651.109","2529.425"
"1","3","17","564","125","22.2","7.6","0.2","219.855","24.62","1136.641","1068.62"
"1","3","18","265","76","21.3","7.3","0.2","55.467","21.95","308.07","269.409"
"1","3","19","0","0","20.8","7","0.2","0","0","0","0"
"1","3","20","0","0","20.5","6.9","0.2","0","20.5","0","0"
"1","3","21","0","0","20.3","6.8","0.2","0","20.3","0","0"
"1","3","22","0","0","20.1","6.8","0.2","0","20.1","0","0"
"1","3","23","0","0","19.9","6.7","0.2","0","19.9","0","0"
"1","4","0","0","0","19.7","6.6","0.2","0","19.7","0","0"
"1","4","1","0","0","19.5","6.6","0.2","0","19.5","0","0"
"1","4","2","0","0","19.2","6.4","0.2","0","19.2","0","0"
"1","4","3","0","0","18.9","6.2","0.2","0","18.9","0","0"
"1","4","4","0","0","18.6","6","0.2","0","18.6","0","0"
"1","4","5","26","17","18.9","5.9","0.2","14.092","19.061","46.212","16.829"
"1","4","6","467","79","19.8","5.9","0.2","75.06","20.763","352.696","312.454"
"1","4","7","722","104","20.2","5.8","0.2","289.421","24.083","1565.959","1482.726"
"1","4","8","854","115","21.8","5.4","0.2","532.703","29.487","3132.445","2993.705"
"1","4","9","930","120","22.9","5.4","0.2","750.666","33.722","4332.341","4151.084"
"1","4","10","971","123","23.8","5.4","0.2","918.006","37.012","5190.357","4978.697"
"1","4","11","985","127","24.4","5.5","0.2","1015.221","38.825","5670.685","5442.005"
"1","4","12","993","126","24.7","5.7","0.2","1043.376","39.179","5811.835","5578.154"
"1","4","13","982","124","24.8","6.1","0.2","992.818","37.973","5570.611","5345.477"
"1","4","14","932","135","24.5","6.5","0.2","864.498","35.496","4925.819","4723.532"
"1","4","15","888","125","23.9","6.5","0.2","684.694","32.625","3976.724","3808.068"
"1","4","16","815","110","23.1","6.4","0.2","458.858","28.991","2660.689","2538.665"
"1","4","17","688","89","22.2","6.2","0.2","218.991","24.953","1096.275","1029.685"
"1","4","18","432","56","21.2","6","0.2","41.58","21.758","228.047","192.221"
"1","4","19","0","0","20.3","5.9","0.2","0","0","0","0"
"1","4","20","0","0","19.8","5.8","0.2","0","19.8","0","0"
