year,c_litre,,,,source,https://www.accc.gov.au/system/files/petrol-quarterly-report-june24.pdf,,,,,,,figure 3.2
2004, 165.69005393765497,,,,scraped with:,https://automeris.io/wpd/,,,,,,,
2005, 178.59651825374647,,,,,,,,,,,,
2006, 212.62265145071498,,,,,,,,,,,,
2007, 198.93397717607246,,,,,,,,,,,,
2008,226.7024307,,,,,,,,,,,,
2009, 177.42320331591998,,,,,,,,,,,,
2010, 183.68088298432795,,,,,,,,,,,,
2011, 198.15176721752147,,,,,,,,,,,,
2012, 197.76066223824597,,,,,,,,,,,,
2013, 192.28519252838896,,,,,,,,,,,,
2014, 195.41403236259296,,,,,,,,,,,,
2015, 173.90325850244045,,,,,,,,,,,,
2016, 150.04585476663493,,,,,,,,,,,,
2017, 156.30353443504293,,,,,,,,,,,,
2018, 178.98762323302196,,,,,,,,,,,,
2019, 174.68546846099144,,,,,,,,,,,,
2020, 134.7927605748904,,,,,,,,,,,,
2021, 169.20999875113444,,,,,,,,,,,,
2022, 200.10729211389895,,,,,,,,,,,,
2023, 194.24071742476644,,,,,,,,,,,,
2024, 197.04697986577185,,,,,,,,,,,,
