Company,State,Plan Name,Time of Day,Price (c/kWh incl. GST),Source
AGL,NSW,Time-of-Use,Peak 13:00–20:00 Mon–Fri excluding public holidays,40.502,https://www.agl.com.au/content/dam/digital/agl/documents/terms-and-conditions/energy/rates-and-contracts/standard-retail-contracts/nsw/agl-nsw-electricity-standing-offer-prices-july-2024.pdf
AGL,NSW,Time-of-Use,Shoulder 07:00–13:00 and 20:00–22:00 Mon–Fri excluding public holidays,33.363,https://www.agl.com.au/content/dam/digital/agl/documents/terms-and-conditions/energy/rates-and-contracts/standard-retail-contracts/nsw/agl-nsw-electricity-standing-offer-prices-july-2024.pdf
AGL,NSW,Time-of-Use,Off-Peak 22:00–07:00 Mon–Fri and all day weekends and public holidays,15.334,https://www.agl.com.au/content/dam/digital/agl/documents/terms-and-conditions/energy/rates-and-contracts/standard-retail-contracts/nsw/agl-nsw-electricity-standing-offer-prices-july-2024.pdf
AGL,NSW,Seasonal Time-of-Use,High-Season Peak 16:00–20:00 business days Nov–Mar,37.444,https://www.agl.com.au/content/dam/digital/agl/documents/terms-and-conditions/energy/rates-and-contracts/standard-retail-contracts/nsw/agl-nsw-electricity-standing-offer-prices-july-2024.pdf
AGL,NSW,Seasonal Time-of-Use,Low-Season Peak 16:00–20:00 business days Apr–Oct,25.586,https://www.agl.com.au/content/dam/digital/agl/documents/terms-and-conditions/energy/rates-and-contracts/standard-retail-contracts/nsw/agl-nsw-electricity-standing-offer-prices-july-2024.pdf
AGL,NSW,Seasonal Time-of-Use,Off-Peak All other times,20.405,https://www.agl.com.au/content/dam/digital/agl/documents/terms-and-conditions/energy/rates-and-contracts/standard-retail-contracts/nsw/agl-nsw-electricity-standing-offer-prices-july-2024.pdf
AGL,ACT,Time-of-Use (Business),Business Usage 07:00–17:00 weekdays,45.100,https://www.agl.com.au/content/dam/digital/agl/documents/terms-and-conditions/energy/rates-and-contracts/standard-retail-contracts/nsw/agl-act-electricity-standing-offer-prices-july-2024.pdf
AGL,ACT,Time-of-Use (Business),Evening Usage 17:00–22:00 weekdays,36.850,https://www.agl.com.au/content/dam/digital/agl/documents/terms-and-conditions/energy/rates-and-contracts/standard-retail-contracts/nsw/agl-act-electricity-standing-offer-prices-july-2024.pdf
AGL,ACT,Time-of-Use (Business),Off-Peak All other times,28.600,https://www.agl.com.au/content/dam/digital/agl/documents/terms-and-conditions/energy/rates-and-contracts/standard-retail-contracts/nsw/agl-act-electricity-standing-offer-prices-july-2024.pdf
AGL,VIC,Residential Value Saver,Peak 07:00–23:00 Mon–Fri,37.444,https://www.agl.com.au/content/dam/digital/epfs/pdfs/victorian_energy_fact_sheet_agd550442mr_electricity_cz_6.pdf
AGL,VIC,Residential Value Saver,Off-Peak All other times,19.646,https://www.agl.com.au/content/dam/digital/epfs/pdfs/victorian_energy_fact_sheet_agd550442mr_electricity_cz_6.pdf
AGL,QLD,Time-of-Use,Peak 16:00–21:00 Mon–Fri,37.554,https://www.agl.com.au/content/dam/digital/agl/documents/terms-and-conditions/energy/rates-and-contracts/standard-retail-contracts/nsw/agl-nsw-electricity-standing-offer-prices-july-2024.pdf
AGL,QLD,Time-of-Use,Shoulder 07:00–16:00 and 21:00–22:00 Mon–Fri,33.506,https://www.agl.com.au/content/dam/digital/agl/documents/terms-and-conditions/energy/rates-and-contracts/standard-retail-contracts/nsw/agl-nsw-electricity-standing-offer-prices-july-2024.pdf
AGL,QLD,Time-of-Use,Off-Peak 22:00–07:00 Mon–Fri and all day weekends,24.948,https://www.agl.com.au/content/dam/digital/agl/documents/terms-and-conditions/energy/rates-and-contracts/standard-retail-contracts/nsw/agl-nsw-electricity-standing-offer-prices-july-2024.pdf
