reporting_entity,electricity_production_m_wh,total_scope_1_emissions_t_co2_e
AGL ENERGY LIMITED,40704136,34726466
STANWELL CORPORATION LIMITED,20975066,18286288
ENERGYAUSTRALIA HOLDINGS LIMITED,16498195,17383708
ORIGIN ENERGY LIMITED,15646148,12921689
PIONEER SAIL HOLDINGS PTY LIMITED,10509695,10474828
C S ENERGY LIMITED,9734307,8727629
SEV.EN GLOBAL INVESTMENTS PTY LTD,6991533,6905352
NRG VICTORIA I PTY LTD,6593095,6433252
GENUITY PTY LTD,7022012,5931404
ELECTRICITY GENERATION AND RETAIL CORPORATION,6959405,5355697
ALCOA AUSTRALIAN HOLDINGS PTY LTD,1636746,1299678
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,2051485,1030124
RIO TINTO LIMITED,1837284,1011897
BLUEWATERS POWER 2 PTY LTD,1375069,964833
APA INFRASTRUCTURE LIMITED,2864312,781028
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,1912671,770306
POWER GENERATION CORPORATION,1241735,742327
BLUEWATERS POWER 1 PTY LTD,1002337,707580
NEWGEN KWINANA HOLDINGS PTY LTD,1458348,583120
RATCH - AUSTRALIA CORPORATION PTY LTD,2067788,555252
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,1062838,554550
ARROW ENERGY HOLDINGS PTY LTD,600905,348883
CLEANCO QUEENSLAND LIMITED,2079464,337714
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,628265,305334
ATCO AUSTRALIA PTY LTD,542729,259035
SNOWY HYDRO LIMITED,5115048,242289
SANTOS LIMITED,143670,81776
HYDRO-ELECTRIC CORPORATION,8440869,50506
GLENCORE HOLDINGS PTY LIMITED,149476,49174
QGC UPSTREAM INVESTMENTS PTY LTD,105522,47941
GOLDFIELDS POWER PTY LTD,75554,43918
LMS ENERGY PTY LTD,536133,39155
IBERDROLA AUSTRALIA LIMITED,2366313,33530
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,20822,19184
PORT ADELAIDE ENERGY PTY LTD,25039,18439
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,26451,14816
LGI LIMITED,94126,9708
